,author,pronoun,verb,count,total,frequency,rank
503,Smith,I,stray,1,121,8.264462809917356,76.0
504,Smith,I,take,1,121,8.264462809917356,77.0
505,Smith,I,taste,1,121,8.264462809917356,78.0
506,Smith,I,tell,1,121,8.264462809917356,79.0
507,Smith,I,think,1,121,8.264462809917356,80.0
508,Smith,I,thought,1,121,8.264462809917356,81.0
509,Smith,I,trust,1,121,8.264462809917356,82.0
510,Smith,I,try,1,121,8.264462809917356,83.0
511,Smith,I,turn,1,121,8.264462809917356,84.0
512,Smith,I,used to see,1,121,8.264462809917356,85.0
513,Smith,I,wait,1,121,8.264462809917356,86.0
515,Smith,I,was deceived,1,121,8.264462809917356,87.0
517,Smith,I,will bless,1,121,8.264462809917356,88.0
518,Smith,I,will not complain,1,121,8.264462809917356,89.0
520,Smith,I,woke,1,121,8.264462809917356,90.0
522,Smith,I,would behold,1,121,8.264462809917356,91.0
523,Smith,I,would find shelter,1,121,8.264462809917356,92.0
524,Smith,I,would forsake,1,121,8.264462809917356,93.0
525,Smith,I,wove,1,121,8.264462809917356,94.0
592,Wordsworth,I,am,9,285,31.578947368421055,1.0
741,Wordsworth,I,saw,9,285,31.578947368421055,2.0
672,Wordsworth,I,heard,7,285,24.56140350877193,3.0
651,Wordsworth,I,gazed,6,285,21.052631578947366,4.0
743,Wordsworth,I,see,6,285,21.052631578947366,5.0
763,Wordsworth,I,stood,5,285,17.543859649122805,6.0
644,Wordsworth,I,find,4,285,14.035087719298247,7.0
656,Wordsworth,I,have,4,285,14.035087719298247,8.0
744,Wordsworth,I,seek,4,285,14.035087719298247,9.0
768,Wordsworth,I,think,4,285,14.035087719298247,10.0
595,Wordsworth,I,ask,3,285,10.526315789473683,11.0
640,Wordsworth,I,feel,3,285,10.526315789473683,12.0
655,Wordsworth,I,had,3,285,10.526315789473683,13.0
687,Wordsworth,I,listen,3,285,10.526315789473683,14.0
593,Wordsworth,I,applaud,2,285,7.017543859649123,15.0
598,Wordsworth,I,beheld,2,285,7.017543859649123,16.0
599,Wordsworth,I,behold,2,285,7.017543859649123,17.0
603,Wordsworth,I,call,2,285,7.017543859649123,18.0
609,Wordsworth,I,caught,2,285,7.017543859649123,19.0
614,Wordsworth,I,compare,2,285,7.017543859649123,20.0
621,Wordsworth,I,crave,2,285,7.017543859649123,21.0
648,Wordsworth,I,found,2,285,7.017543859649123,22.0
661,Wordsworth,I,have found,2,285,7.017543859649123,23.0
666,Wordsworth,I,have seen,2,285,7.017543859649123,24.0
670,Wordsworth,I,have watched,2,285,7.017543859649123,25.0
693,Wordsworth,I,loved,2,285,7.017543859649123,26.0
706,Wordsworth,I,might have,2,285,7.017543859649123,27.0
721,Wordsworth,I,pray,2,285,7.017543859649123,28.0
725,Wordsworth,I,pursued,2,285,7.017543859649123,29.0
731,Wordsworth,I,remain,2,285,7.017543859649123,30.0
755,Wordsworth,I,smiled,2,285,7.017543859649123,31.0
759,Wordsworth,I,speak,2,285,7.017543859649123,32.0
764,Wordsworth,I,strove,2,285,7.017543859649123,33.0
769,Wordsworth,I,thought,2,285,7.017543859649123,34.0
773,Wordsworth,I,turn,2,285,7.017543859649123,35.0
777,Wordsworth,I,viewed,2,285,7.017543859649123,36.0
783,Wordsworth,I,watch,2,285,7.017543859649123,37.0
786,Wordsworth,I,went,2,285,7.017543859649123,38.0
589,Wordsworth,I,absolve,1,285,3.5087719298245617,39.0
590,Wordsworth,I,accompanied,1,285,3.5087719298245617,40.0
591,Wordsworth,I,affirm,1,285,3.5087719298245617,41.0
594,Wordsworth,I,array,1,285,3.5087719298245617,42.0
596,Wordsworth,I,awoke,1,285,3.5087719298245617,43.0
597,Wordsworth,I,be,1,285,3.5087719298245617,44.0
600,Wordsworth,I,breathe,1,285,3.5087719298245617,45.0
601,Wordsworth,I,burn,1,285,3.5087719298245617,46.0
602,Wordsworth,I,burst,1,285,3.5087719298245617,47.0
604,Wordsworth,I,came,1,285,3.5087719298245617,48.0
605,Wordsworth,I,can behold,1,285,3.5087719298245617,49.0
606,Wordsworth,I,can venerate,1,285,3.5087719298245617,50.0
607,Wordsworth,I,cannot brood,1,285,3.5087719298245617,51.0
608,Wordsworth,I,cast,1,285,3.5087719298245617,52.0
610,Wordsworth,I,chanted,1,285,3.5087719298245617,53.0
611,Wordsworth,I,choose,1,285,3.5087719298245617,54.0
612,Wordsworth,I,claim,1,285,3.5087719298245617,55.0
613,Wordsworth,I,clomb,1,285,3.5087719298245617,56.0
615,Wordsworth,I,confess,1,285,3.5087719298245617,57.0
616,Wordsworth,I,consult,1,285,3.5087719298245617,58.0
617,Wordsworth,I,could forget,1,285,3.5087719298245617,59.0
618,Wordsworth,I,could not part ,1,285,3.5087719298245617,60.0
619,Wordsworth,I,could not win,1,285,3.5087719298245617,61.0
620,Wordsworth,I,could trip o'er,1,285,3.5087719298245617,62.0
622,Wordsworth,I,crowded,1,285,3.5087719298245617,63.0
623,Wordsworth,I,cry,1,285,3.5087719298245617,64.0
624,Wordsworth,I,culled,1,285,3.5087719298245617,65.0
625,Wordsworth,I,dare,1,285,3.5087719298245617,66.0
626,Wordsworth,I,dared,1,285,3.5087719298245617,67.0
627,Wordsworth,I,deplore,1,285,3.5087719298245617,68.0
628,Wordsworth,I,did make,1,285,3.5087719298245617,69.0
629,Wordsworth,I,did range,1,285,3.5087719298245617,70.0
630,Wordsworth,I,do lie,1,285,3.5087719298245617,71.0
631,Wordsworth,I,dread,1,285,3.5087719298245617,72.0
632,Wordsworth,I,dropped,1,285,3.5087719298245617,73.0
633,Wordsworth,I,end,1,285,3.5087719298245617,74.0
634,Wordsworth,I,endure,1,285,3.5087719298245617,75.0
635,Wordsworth,I,enjoy,1,285,3.5087719298245617,76.0
636,Wordsworth,I,err,1,285,3.5087719298245617,77.0
637,Wordsworth,I,espy,1,285,3.5087719298245617,78.0
638,Wordsworth,I,essayed,1,285,3.5087719298245617,79.0
639,Wordsworth,I,explore,1,285,3.5087719298245617,80.0
641,Wordsworth,I,feign not,1,285,3.5087719298245617,81.0
642,Wordsworth,I,felt,1,285,3.5087719298245617,82.0
643,Wordsworth,I,filled,1,285,3.5087719298245617,83.0
645,Wordsworth,I,flee,1,285,3.5087719298245617,84.0
646,Wordsworth,I,foretell,1,285,3.5087719298245617,85.0
